19:12:06:018 [ALWAYS]	GUDE Logging Started
19:12:06:019 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:12:06:019 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:12:06:019 [ERROR]	Initialize resume cache pointer failure
19:12:06:019 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:12:06:020 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:12:18:429 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:12:18:429 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:12:18:429 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:12:18:429 [ERROR]	Initialize resume cache pointer failure
19:12:18:429 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:12:18:429 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
